n,k,cota_superior,cota_inferior,cumple_cota_sup,cumple_cota_inf,es_potencia_2,cumple_proposicion_3_1,k_teorico_pot2,trayectoria
100,5,12,4,True,True,False,,,100 → 50 → 25 → 12 → 6 → 7
101,5,12,4,True,True,False,,,101 → 50 → 25 → 12 → 6 → 7
102,5,12,4,True,True,False,,,102 → 51 → 25 → 12 → 6 → 7
103,5,12,4,True,True,False,,,103 → 51 → 25 → 12 → 6 → 7
104,5,12,4,True,True,False,,,104 → 52 → 26 → 13 → 6 → 7
105,5,12,4,True,True,False,,,105 → 52 → 26 → 13 → 6 → 7
106,5,12,4,True,True,False,,,106 → 53 → 26 → 13 → 6 → 7
107,5,12,4,True,True,False,,,107 → 53 → 26 → 13 → 6 → 7
108,5,12,4,True,True,False,,,108 → 54 → 27 → 13 → 6 → 7
109,5,12,4,True,True,False,,,109 → 54 → 27 → 13 → 6 → 7
110,5,12,4,True,True,False,,,110 → 55 → 27 → 13 → 6 → 7
111,5,12,4,True,True,False,,,111 → 55 → 27 → 13 → 6 → 7
112,4,12,4,True,True,False,,,112 → 56 → 28 → 14 → 7
113,4,12,4,True,True,False,,,113 → 56 → 28 → 14 → 7
114,4,12,4,True,True,False,,,114 → 57 → 28 → 14 → 7
115,4,12,4,True,True,False,,,115 → 57 → 28 → 14 → 7
116,4,12,4,True,True,False,,,116 → 58 → 29 → 14 → 7
117,4,12,4,True,True,False,,,117 → 58 → 29 → 14 → 7
118,4,12,4,True,True,False,,,118 → 59 → 29 → 14 → 7
119,4,12,4,True,True,False,,,119 → 59 → 29 → 14 → 7
120,4,12,4,True,True,False,,,120 → 60 → 30 → 15 → 7
121,4,12,4,True,True,False,,,121 → 60 → 30 → 15 → 7
122,4,12,4,True,True,False,,,122 → 61 → 30 → 15 → 7
123,4,12,4,True,True,False,,,123 → 61 → 30 → 15 → 7
124,4,12,4,True,True,False,,,124 → 62 → 31 → 15 → 7
125,4,12,4,True,True,False,,,125 → 62 → 31 → 15 → 7
126,4,12,4,True,True,False,,,126 → 63 → 31 → 15 → 7
127,4,12,4,True,True,False,,,127 → 63 → 31 → 15 → 7
128,8,13,5,True,True,True,True,8,128 → 64 → 32 → 16 → 8 → 4 → 5 → 6 → 7
129,8,13,5,True,True,False,,,129 → 64 → 32 → 16 → 8 → 4 → 5 → 6 → 7
130,8,13,5,True,True,False,,,130 → 65 → 32 → 16 → 8 → 4 → 5 → 6 → 7
131,8,13,5,True,True,False,,,131 → 65 → 32 → 16 → 8 → 4 → 5 → 6 → 7
132,8,13,5,True,True,False,,,132 → 66 → 33 → 16 → 8 → 4 → 5 → 6 → 7
133,8,13,5,True,True,False,,,133 → 66 → 33 → 16 → 8 → 4 → 5 → 6 → 7
134,8,13,5,True,True,False,,,134 → 67 → 33 → 16 → 8 → 4 → 5 → 6 → 7
135,8,13,5,True,True,False,,,135 → 67 → 33 → 16 → 8 → 4 → 5 → 6 → 7
136,8,13,5,True,True,False,,,136 → 68 → 34 → 17 → 8 → 4 → 5 → 6 → 7
137,8,13,5,True,True,False,,,137 → 68 → 34 → 17 → 8 → 4 → 5 → 6 → 7
138,8,13,5,True,True,False,,,138 → 69 → 34 → 17 → 8 → 4 → 5 → 6 → 7
139,8,13,5,True,True,False,,,139 → 69 → 34 → 17 → 8 → 4 → 5 → 6 → 7
140,8,13,5,True,True,False,,,140 → 70 → 35 → 17 → 8 → 4 → 5 → 6 → 7
141,8,13,5,True,True,False,,,141 → 70 → 35 → 17 → 8 → 4 → 5 → 6 → 7
142,8,13,5,True,True,False,,,142 → 71 → 35 → 17 → 8 → 4 → 5 → 6 → 7
143,8,13,5,True,True,False,,,143 → 71 → 35 → 17 → 8 → 4 → 5 → 6 → 7
144,8,13,5,True,True,False,,,144 → 72 → 36 → 18 → 9 → 4 → 5 → 6 → 7
145,8,13,5,True,True,False,,,145 → 72 → 36 → 18 → 9 → 4 → 5 → 6 → 7
146,8,13,5,True,True,False,,,146 → 73 → 36 → 18 → 9 → 4 → 5 → 6 → 7
147,8,13,5,True,True,False,,,147 → 73 → 36 → 18 → 9 → 4 → 5 → 6 → 7
148,8,13,5,True,True,False,,,148 → 74 → 37 → 18 → 9 → 4 → 5 → 6 → 7
149,8,13,5,True,True,False,,,149 → 74 → 37 → 18 → 9 → 4 → 5 → 6 → 7
150,8,13,5,True,True,False,,,150 → 75 → 37 → 18 → 9 → 4 → 5 → 6 → 7
151,8,13,5,True,True,False,,,151 → 75 → 37 → 18 → 9 → 4 → 5 → 6 → 7
